"Tank #","Facility ID",Capacity,Status,Substance,"Tank Material","Date Installed",Atg,Delete
2,3-010214,5000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1971, ,
3,3-010214,250,Closure,"Used Oil","Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-010215,12000,Active,"E10 Regular","Fiberglass Reinforced Plastic",09/01/1993, ,
2,3-010215,12000,Active,Diesel,"Fiberglass Reinforced Plastic",09/01/1993, ,
3,3-010215,10000,Active,Diesel,"Asphalt Coated or Bare Steel",01/01/1976, ,
4,3-010215,10000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
5,3-010215,500,Active,"Used Oil","Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-010216,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1972, ,
2,3-010216,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1972, ,
3,3-010216,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1972, ,
4,3-010216,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1972, ,
5,3-010216,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1972, ,
1,3-010218,10000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1980, ,
2,3-010218,3000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1966, ,
3,3-010218,3000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1966, ,
1,3-010219,10000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",01/01/1980, ,
4,3-010219,500,Closure,"Used Oil","Cathodically Protected Steel (Impressed Current)",01/01/1966, ,
2M,3-010219,3000,Closure,"Premium Gasoline","Cathodically Protected Steel (Impressed Current)",01/01/1966, ,
3M,3-010219,3000,Closure,"Premium Gasoline","Cathodically Protected Steel (Impressed Current)",01/01/1966, ,
1,3-010220,10000,Active,"E10 Regular","Cathodically Protected Steel (Impressed Current)",01/01/1980, ,
4,3-010220,500,Active,"Used Oil","Not Listed",12/22/1988, ,
2M,3-010220,3000,Active,"E10 Premium","Cathodically Protected Steel (Impressed Current)",01/01/1966, ,
3M,3-010220,3000,Active,"E10 Premium","Cathodically Protected Steel (Impressed Current)",01/01/1966, ,
1,3-010221,10000,Closure,"Not Listed","Asphalt Coated or Bare Steel",01/01/1972, ,
2,3-010221,10000,Closure,"Not Listed","Asphalt Coated or Bare Steel",01/01/1972, ,
3,3-010221,10000,Closure,"Not Listed","Asphalt Coated or Bare Steel",01/01/1972, ,
4,3-010221,10000,Closure,"Not Listed","Asphalt Coated or Bare Steel",01/01/1972, ,
5,3-010221,10000,Closure,"Not Listed","Asphalt Coated or Bare Steel",01/01/1972, ,
1,3-010222,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",06/26/1984, ,
1,3-010223,4000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1962, ,
2,3-010223,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1962, ,
3,3-010223,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1973, ,
4,3-010223,500,Closure,"Used Oil","Asphalt Coated or Bare Steel",01/01/1982, ,
1,3-010224,10000,Active,"Regular Gasoline","Fiberglass Reinforced Plastic",06/01/1993, ,
2,3-010224,10000,Active,Diesel,"Fiberglass Reinforced Plastic",06/29/1993, ,
3,3-010224,4000,Active,Diesel,"Asphalt Coated or Bare Steel",06/01/1955, ,
4,3-010224,5000,Active,Gasohol,"Asphalt Coated or Bare Steel",06/01/1955, ,
5,3-010224,4000,Active,Diesel,"Asphalt Coated or Bare Steel",06/01/1955, ,
6,3-010224,5000,Active,Diesel,"Asphalt Coated or Bare Steel",08/01/1970, ,
7,3-010224,5000,Active,Gasohol,"Asphalt Coated or Bare Steel",08/01/1970, ,
8,3-010224,5000,Active,Diesel,"Asphalt Coated or Bare Steel",06/01/1980, ,
1,3-010225,8000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",03/01/1990, ,
2,3-010225,6000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",03/01/1990, ,
3,3-010225,6000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",03/01/1990, ,
1,3-010226,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",08/01/1979, ,
2,3-010226,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",08/01/1979, ,
1,3-010227,4000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1979, ,
2,3-010227,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1979, ,
3,3-010227,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1979, ,
4,3-010227,500,Closure,"Used Oil","Asphalt Coated or Bare Steel",01/01/1979, ,
1,3-010228,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1965, ,
2,3-010228,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1965, ,
3,3-010228,250,Closure,"Used Oil","Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-010229,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1961, ,
2,3-010229,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1961, ,
1,3-010230,15000,Active,"Regular Gasoline","Fiberglass Reinforced Plastic",12/22/1988, ,
2,3-010230,8000,Active,Diesel,"Fiberglass Reinforced Plastic",12/22/1988, ,
3,3-010230,1000,Active,"Used Oil","Fiberglass Reinforced Plastic",07/31/1998, ,
4,3-010230,1000,Active,"New Motor Oil","Fiberglass Reinforced Plastic",07/31/1998, ,
5,3-010230,5000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1978, ,
6,3-010230,5000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1978, ,
7,3-010230,500,Active,"Used Oil","Asphalt Coated or Bare Steel",01/01/1978, ,
8,3-010230,500,Active,Other,"Asphalt Coated or Bare Steel",01/01/1978, ,
9,3-010230,4000,Active,Diesel,"Asphalt Coated or Bare Steel",01/01/1980, ,
1,3-010231,12000,Closure,"E10 Regular","Cathodically Protected Steel (Impressed Current)",01/01/1978, ,
2,3-010231,8000,Closure,"E10 Premium","Cathodically Protected Steel (Impressed Current)",01/01/1978, ,
3,3-010231,6000,Closure,Diesel,"Cathodically Protected Steel (Impressed Current)",01/01/1978, ,
1,3-010232,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1960, ,
2,3-010232,500,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1960, ,
1,3-010233,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
2,3-010233,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
3,3-010233,500,Closure,Diesel,"Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-010234,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1978, ,
2,3-010234,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1978, ,
1,3-010235,5000,Closure,Diesel,"Cathodically Protected Steel (Impressed Current)",12/22/1988, ,
2,3-010235,12000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",12/22/1988, ,
1,3-010236,12000,Closure,"Not Listed","Asphalt Coated or Bare Steel",01/01/1984, ,
2,3-010236,12000,Closure,"Not Listed","Asphalt Coated or Bare Steel",01/01/1984, ,
1,3-010237,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
2,3-010237,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
3,3-010237,1500,Closure,Diesel,"Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-010238,9000,Closure,Diesel,"Fiberglass Reinforced Plastic",01/01/1975, ,
2,3-010238,9000,Closure,"Regular Gasoline","Fiberglass Reinforced Plastic",01/01/1975, ,
3,3-010239,5000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
4,3-010239,500,Closure,"Used Oil","Asphalt Coated or Bare Steel",01/01/1971, ,
1,3-010240,550,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1974, ,
2,3-010240,550,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1974, ,
1,3-010241,500,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1970, ,
2,3-010241,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1970, ,
1,3-010243,15000,Active,Diesel,"Fiberglass Reinforced Plastic",07/31/1998,1,
2,3-010243,12000,Active,Diesel,"Asphalt Coated or Bare Steel",08/01/1974, ,
3,3-010243,10000,Active,Diesel,"Asphalt Coated or Bare Steel",08/01/1974, ,
1,3-010244,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1979, ,
2,3-010244,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1984, ,
3,3-010244,400,Closure,"Used Oil","Asphalt Coated or Bare Steel",01/01/1984, ,
1,3-010245,12000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1956, ,
2,3-010245,12000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1976, ,
3,3-010245,8000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
1,3-010246,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",04/01/1976, ,
1,3-010247,1000,Closure,Diesel,Unknown,01/01/1975, ,
1,3-010248,12000,Active,"E10 Regular","Cathodically Protected Steel (Impressed Current)",01/01/1981,1,
2,3-010248,12000,Active,"E10 Premium","Cathodically Protected Steel (Impressed Current)",01/01/1981,2,
3,3-010248,10000,Active,Diesel,"Cathodically Protected Steel (Impressed Current)",01/01/1981,3,
1,3-010249,10000,Closure,"E10 Regular","Cathodically Protected Steel (Impressed Current)",01/01/1978, ,
2,3-010249,10000,Closure,Biodiesel,"Cathodically Protected Steel (Impressed Current)",01/01/1978, ,
3,3-010249,10000,Closure,"E10 Premium","Cathodically Protected Steel (Impressed Current)",01/01/1978, ,
1,3-010250,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
2,3-010250,280,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1976, ,
1,3-010251,12000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
2,3-010251,10000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
3,3-010251,5000,Closure,Diesel,"Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-010252,6000,Closure,"Regular Gasoline","Fiberglass Reinforced Plastic",09/13/1995, ,
2,3-010252,500,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1972, ,
3,3-010252,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1972, ,
4,3-010252,10000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1979, ,
5,3-010252,3000,Closure,Diesel,"Composite (Steel w/ FRP)",05/09/1988, ,
1,3-010253,3000,Closure,"Regular Gasoline",Unknown,01/01/1956, ,
2,3-010253,1000,Closure,"Regular Gasoline",Unknown,01/01/1956, ,
1,3-010254,6000,Closure,"Regular Gasoline","Fiberglass Reinforced Plastic",07/01/1993, ,
2,3-010254,3000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1975, ,
3,3-010254,3000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1975, ,
1,3-010255,10750,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1960, ,
2,3-010255,10750,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1973, ,
1,3-010256,2000,Active,Diesel,"Composite (Steel w/ FRP)",09/01/1991, ,
2,3-010256,3000,Active,Diesel,"Not Listed",01/01/1976, ,
1,3-010257,10000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",08/01/1978, ,
2,3-010257,500,Closure,"Used Oil","Asphalt Coated or Bare Steel",01/01/1979, ,
1,3-010258,12000,Active,Diesel,"Cathodically Protected Steel (Galvanic)",11/01/1991, ,
2,3-010258,20000,Active,Diesel,"Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-010259,3000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1974, ,
1,3-010260,5500,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1956, ,
2,3-010260,5500,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1956, ,
3,3-010260,5000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1956, ,
1,3-010261,1000,Closure,"Not Listed","Asphalt Coated or Bare Steel",01/01/1983, ,
1,3-010262,500,Closure,"Used Oil","Not Listed",01/01/1985, ,
1,3-010263,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1966, ,
2,3-010263,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1966, ,
1,3-010264,10000,Closure,Diesel,"Asphalt Coated or Bare Steel",11/01/1972, ,
1,3-010265,15000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1962, ,
2,3-010265,15000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1962, ,
3,3-010265,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1960, ,
4,3-010265,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1957, ,
1,3-010268,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/01/1978, ,
2,3-010268,2000,Closure,Diesel,"Asphalt Coated or Bare Steel",12/01/1978, ,
3,3-010268,500,Closure,"Not Listed","Asphalt Coated or Bare Steel",12/01/1978, ,
4,3-010268,500,Closure,"Used Oil","Asphalt Coated or Bare Steel",12/01/1978, ,
1,3-010270, ,Closure,"Not Listed",Unknown,01/01/1949, ,
2,3-010270, ,Closure,"Not Listed",Unknown,01/01/1949, ,
3,3-010270, ,Closure,"Not Listed",Unknown,01/01/1949, ,
4,3-010270, ,Closure,"Not Listed",Unknown,01/01/1949, ,
5,3-010270, ,Closure,"Not Listed",Unknown,01/01/1949, ,
6,3-010270, ,Closure,"Not Listed",Unknown,01/01/1949, ,
7,3-010270, ,Closure,"Not Listed",Unknown,01/01/1949, ,
1,3-010271,2000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1975, ,
1,3-010272,4000,Active,Diesel,"Cathodically Protected Steel (Galvanic)",06/01/1996,1,
2,3-010272,2000,Active,"Regular Gasoline","Cathodically Protected Steel (Galvanic)",06/01/1996,2,
3,3-010272,2000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",05/12/1981, ,
1,3-010273,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
2,3-010273,500,Closure,Diesel,"Asphalt Coated or Bare Steel",12/22/1988, ,
3,3-010273,250,Closure,"Not Listed","Asphalt Coated or Bare Steel",12/22/1988, ,
4,3-010273,1500,Closure,Diesel,"Asphalt Coated or Bare Steel",12/22/1988, ,
5,3-010273,4000,Closure,Diesel,"Asphalt Coated or Bare Steel",12/22/1988, ,
6,3-010273,3000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
7,3-010273,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
8,3-010273,3000,Closure,"Used Oil","Asphalt Coated or Bare Steel",12/22/1988, ,
9,3-010273,500,Closure,"Used Oil","Asphalt Coated or Bare Steel",12/22/1988, ,
10,3-010273,500,Closure,Diesel,"Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-010274,10000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1967, ,
2,3-010274,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1968, ,
1,3-010275,10000,Closure,"Regular Gasoline",Unknown,12/22/1988, ,
2,3-010275,8000,Closure,"Regular Gasoline",Unknown,12/22/1988, ,
1,3-010276,20000,Active,"E10 Regular","Fiberglass Reinforced Plastic",12/01/1998,3,
2,3-010276,12000,Active,"E10 Premium","Fiberglass Reinforced Plastic",12/01/1998,2,
3,3-010276,12000,Active,Diesel,"Fiberglass Reinforced Plastic",12/01/1998,1,
4,3-010276,12000,Active,"Regular Gasoline","Composite (Steel w/ FRP)",01/01/1987, ,
5,3-010276,12000,Active,"Regular Gasoline","Composite (Steel w/ FRP)",01/01/1987, ,
6,3-010276,12000,Active,"Regular Gasoline","Composite (Steel w/ FRP)",01/01/1987, ,
7,3-010276,1000,Active,"Used Oil","Asphalt Coated or Bare Steel",12/22/1988, ,
8,3-010276,12000,Active,Diesel,"Composite (Steel w/ FRP)",01/01/1987, ,
9,3-010276,12000,Active,Diesel,"Composite (Steel w/ FRP)",01/01/1987, ,
10,3-010276,12000,Active,Diesel,"Composite (Steel w/ FRP)",01/01/1987, ,
11,3-010276,4000,Active,"Regular Gasoline","Fiberglass Reinforced Plastic",03/12/2021,4,
1,3-010277,240,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-010278,12000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
2,3-010278,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
3,3-010278,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
4,3-010278,500,Closure,"Used Oil","Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-010279,10000,Closure,Gasohol,"Cathodically Protected Steel (Impressed Current)",01/01/1977, ,
2,3-010279,10000,Closure,Gasohol,"Cathodically Protected Steel (Impressed Current)",01/01/1977, ,
3,3-010279,10000,Closure,Gasohol,"Cathodically Protected Steel (Impressed Current)",01/01/1977, ,
1,3-010280,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1926, ,
2,3-010280,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1926, ,
3,3-010280,250,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1926, ,
1,3-010282,10000,Closure,"E10 Regular","Fiberglass Reinforced Plastic",01/01/1983, ,
2,3-010282,10000,Closure,"E10 Premium","Fiberglass Reinforced Plastic",01/01/1983, ,
3,3-010282,10000,Closure,Diesel,"Fiberglass Reinforced Plastic",01/01/1983, ,
4,3-010283,4000,Active,Diesel,"Cathodically Protected Steel (Impressed Current)",01/01/1982, ,
1M,3-010283,4000,Active,Diesel,"Cathodically Protected Steel (Impressed Current)",01/01/1982, ,
2M,3-010283,4000,Active,Diesel,"Cathodically Protected Steel (Impressed Current)",01/01/1982, ,
3M,3-010283,4000,Active,"E10 Regular","Cathodically Protected Steel (Impressed Current)",01/01/1982, ,
5M,3-010283,8000,Active,"E10 Regular","Cathodically Protected Steel (Impressed Current)",01/01/1982, ,
1,3-010284,10000,Active,"E10 Regular","Cathodically Protected Steel (Galvanic)",09/01/1988,1,
2,3-010284,10000,Active,"E10 Premium","Cathodically Protected Steel (Galvanic)",09/01/1988,2,
3,3-010284,10000,Active,Diesel,"Cathodically Protected Steel (Galvanic)",09/01/1988,3,
2,3-010285,10600,Active,"E10 Premium","Cathodically Protected Steel (Impressed Current)",01/01/1970,2,
1M,3-010285,10600,Active,"E10 Regular","Cathodically Protected Steel (Impressed Current)",01/01/1970,1,
3M,3-010285,10600,Active,"E10 Regular","Cathodically Protected Steel (Impressed Current)",01/01/1970,3,
1,3-010286,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1960, ,
2,3-010286,8000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1960, ,
3,3-010286,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1960, ,
4,3-010286,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1960, ,
5,3-010286,500,Closure,"Used Oil","Asphalt Coated or Bare Steel",01/01/1960, ,
1,3-010287,8000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
2,3-010287,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
3,3-010287,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1954, ,
4,3-010287,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1954, ,
5,3-010287,500,Closure,"Used Oil","Asphalt Coated or Bare Steel",01/01/1976, ,
6,3-010287,12000,Closure,"Regular Gasoline","Composite (Steel w/ FRP)",02/01/1999, ,
7,3-010287,12000,Closure,"Regular Gasoline","Composite (Steel w/ FRP)",02/01/1999, ,
1,3-010288,8000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1961, ,
2,3-010288,4000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1961, ,
3,3-010288,4000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1961, ,
4,3-010288,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1961, ,
5,3-010288,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1961, ,
6,3-010288,500,Closure,"Used Oil","Asphalt Coated or Bare Steel",01/01/1961, ,
1,3-010289,12000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
2,3-010289,5000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
3,3-010289,5000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
4,3-010289,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
5,3-010289,550,Closure,"Used Oil","Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-010290,5000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1968, ,
2,3-010290,5000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1968, ,
3,3-010290,5000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1968, ,
4,3-010290,5000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1968, ,
1,3-010291,20000,Active,"E10 Regular","Fiberglass Reinforced Plastic",04/01/1999, ,
2,3-010291,10000,Active,Diesel,"Fiberglass Reinforced Plastic",01/01/1975, ,
3,3-010291,10000,Active,"E10 Premium","Fiberglass Reinforced Plastic",01/19/1975, ,
4,3-010291,6000,Active,"Regular Gasoline","Fiberglass Reinforced Plastic",01/01/1975, ,
5,3-010291,1000,Active,"Used Oil",Unknown,01/01/1961, ,
1,3-010292,5000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",01/01/1970, ,
2,3-010292,5000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",01/01/1970, ,
3,3-010292,5000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",01/01/1970, ,
4,3-010292,5000,Closure,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",01/01/1970, ,
1,3-010293,10000,Active,"E10 Regular","Cathodically Protected Steel (Impressed Current)",09/01/1972,1,
2,3-010293,10000,Active,"E10 Premium","Cathodically Protected Steel (Impressed Current)",09/01/1972,2,
3,3-010293,6000,Active,Diesel,"Cathodically Protected Steel (Impressed Current)",09/01/1972,3,
1,3-010295,1000,Closure,Diesel,"Asphalt Coated or Bare Steel",12/22/1988, ,
2,3-010295,500,Closure,Diesel,"Composite (Steel w/ FRP)",05/01/1989, ,
1,3-010296,4000,Closure,"Regular Gasoline",Unknown,01/01/1963, ,
2,3-010296,4000,Closure,"Regular Gasoline",Unknown,01/01/1963, ,
3,3-010296,4000,Closure,"Regular Gasoline",Unknown,01/01/1963, ,
4,3-010296,4000,Closure,Diesel,Unknown,01/01/1963, ,
5,3-010296,4000,Closure,Diesel,Unknown,01/01/1963, ,
1,3-010297,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
2,3-010297,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
3,3-010297,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
4,3-010297,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
1,3-010298,1000,Closure,"Regular Gasoline",Unknown,01/01/1941, ,
2,3-010298,1000,Closure,"Regular Gasoline",Unknown,01/01/1941, ,
1,3-010299,126,Closure,"Hazardous Substance","Asphalt Coated or Bare Steel",01/01/1950, ,
3,3-010299,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1950, ,
4,3-010299,1000,Closure,"Regular Gasoline",Concrete,01/01/1976, ,
5,3-010299,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1950, ,
1,3-010301,10000,Active,Diesel,"Cathodically Protected Steel (Impressed Current)",01/01/1985,1,
2,3-010301,10000,Active,"Regular Gasoline","Cathodically Protected Steel (Impressed Current)",01/01/1985,2,
1,3-010302,12000,Active,"Jet Fuel","Cathodically Protected Steel (Impressed Current)",01/01/1985,4,
2,3-010302,12000,Active,"Aviation Gas","Cathodically Protected Steel (Impressed Current)",01/01/1985,3,
1,3-010303,3500,Closure,Diesel,"Asphalt Coated or Bare Steel",12/22/1988, ,
1,3-010304,516,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1960, ,
2,3-010304,516,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1960, ,
1,3-010306,8000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1966, ,
2,3-010306,10000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1966, ,
3,3-010306,500,Closure,"Regular Gasoline","Not Listed",01/01/1966, ,
1,3-010308,20000,Active,"E10 Regular","Fiberglass Reinforced Plastic",05/25/2001,1,
4,3-010308,2000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1966, ,
5,3-010308,4000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1966, ,
6,3-010308,4000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1966, ,
7,3-010308,4000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1966, ,
8,3-010308,4000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",12/22/1988, ,
2A,3-010308,15000,Active,"E10 Premium","Fiberglass Reinforced Plastic",05/25/2001,2,
2B,3-010308,6000,Active,Diesel,"Fiberglass Reinforced Plastic",05/25/2001,3,
1,3-010309,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1972, ,
2,3-010309,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1972, ,
1,3-010310,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1971, ,
1,3-010313,12000,Active,"E10 Regular","Fiberglass Reinforced Plastic",10/01/1992,1,
2,3-010313,12000,Active,"E10 Premium","Fiberglass Reinforced Plastic",10/01/1992,2,
3,3-010313,12000,Active,Diesel,"Fiberglass Reinforced Plastic",10/01/1992,3,
4,3-010313,500,Active,"Used Oil","Asphalt Coated or Bare Steel",01/01/1971, ,
5,3-010313,10000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1971, ,
6,3-010313,10000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1971, ,
7,3-010313,5000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
1,3-010314,10000,Active,"E10 Regular","Fiberglass Reinforced Plastic",11/02/1998,1,
2,3-010314,10000,Active,"E10 Premium","Fiberglass Reinforced Plastic",11/02/1998,2,
