"Facility ID","Facility Name","Owner Name","Facility Address","Facility Zip","Facility Status","Facility Type","Facility Phone",City,"Last Inspection",Latitude,Longitude,"Date Certified","Drinking Water Source","UST ID"
1-400605,"CALLAHAN MINING CORP","CALLAHAN MINING CORP","PO BOX 905",83849,Closure,Industrial,,OSBURN, ,47.47754000,-115.94210000,10/12/1991,Yes,464
1-400606,"PAGE WASTEWATER TREATMENT","SOUTH FORK CDA SEWER DIST","OLD HWY 10",83868,Closure,Utilities,,SMELTERVILLE, ,47.54474000,-116.20222000,04/10/1998,Yes,465
1-400607,"Gondolier Mart","Ankur Sood,Sandhu Petro LLC","802 W CAMERON AVE",83837,Active,"Gas Station",,KELLOGG,12/6/2023,47.54681000,-116.13274000,05/03/2004,Yes,466
1-400608,"SHOSHONE COUNTY SHOP","SHOSHONE COUNTY","FIRST & POPLAR ST",83808,Active,"Local Government",,CALDER,7/31/2024,47.27663000,-116.18862000,09/18/2001,Yes,467
1-400609,"DAVE SMITH MOTORS","DAVE SMITH","210 N DIVISION ST",83837,Closure,"Auto Dealership",,KELLOGG, ,47.53616000,-116.12075000,04/19/1993,Yes,468
1-400610,"SILVER VALLEY TRUCK STOP","HLT, Inc","183 THEATER RD",83868,Closure,"Gas Station",,SMELTERVILLE,1/13/2015,47.54864000,-116.17148000,04/19/2004,Yes,469
1-400611,"BUILDING MAINTENANCE & SUPPLY/MINE SUPPLY BUILDING","NANCY AND DON BERGER","722 BANK",83873,Closure,Commercial,,WALLACE, ,47.47152000,-115.92113000,11/28/2001,Yes,470
1-400612,IDL-CATALDO,"IDAHO DEPARTMENT OF LANDS","80 HILLTOP OVERPASS RD",83810,Closure,"State Government",,CATALDO, ,47.54965000,-116.29440000,06/09/1993,Yes,471
1-400613,"CITY OF WARDNER","CITY OF WARDNER","649 MAIN WARDNER",83837,Closure,"Local Government",,KELLOGG, ,47.52186000,-116.13765000,10/14/1993,Yes,472
1-400614,"ESTATE OF SAM M BROOKS","ESTATE OF SAM M BROOKS","5TH & BANK ST",83873,Closure,"Gas Station",,WALLACE, ,47.47186000,-115.92525000,11/25/1993,Yes,473
1-400615,"CALADAY PROJECT","ASARCO INC","DALY GULCH",83873,Closure,Industrial,,WALLACE, ,47.47753000,-115.94210000,11/16/1993,Yes,126
1-400616,"LES SCHWAB TIRE","LES SCHWAB TIRE CENTER","E 15 CAMERON",83837,Closure,Commercial,,KELLOGG, ,47.53768000,-116.11789000,09/11/1992,Yes,4499
1-400617,"CALDER GEN STORE","JIM OLIVER","#1 RAILROAD ST",83808,Closure,"Gas Station",,CALDER, ,47.27566000,-116.18929000,06/18/1994,Yes,127
1-400618,"CITY OF WALLACE IDAHO","CITY OF WALLACE","703 CEDAR",83873,Closure,"Local Government",,WALLACE, ,47.47249000,-115.92230000,07/21/1994,Yes,128
1-400619,"KEN HENRY","KEN HENRY","2020 COEUR D'ALENE RIVER RD",83839,Closure,"Gas Station",,KINGSTON, ,47.56809000,-116.25328000,08/20/1994,Yes,129
1-400620,"SILVER NEEDLE INC/LARRY S","SILVER NEEDLE MANUFACTURING","322 MAIN ST",83837,Closure,Commercial,,KELLOGG, ,47.53379000,-116.12270000,10/19/1994,Yes,130
1-400622,"ROY NICKERSON","ROY NICKERSON/GLEN NICKERSON","120 MCKINLEY AVE",83837,Closure,Other,,KELLOGG, ,47.53559000,-116.12372000,10/19/1994,Yes,131
1-400623,"JOHN KRULITZ","JOHN KRULITZ","120 RIVER ST",83846,Closure,Residential,,MULLAN, ,47.46828000,-115.80074000,04/04/1995,Yes,132
1-400624,"JIM HOLAND LOGGING SHOP","H JAMES HOLAND,JIM & MARGIE HOLAND","232 COEUR D'ALENE RIVER RD",83839,Closure,Contractor,,KINGSTON, ,47.55176000,-116.27026000,05/08/1997,Yes,4195
1-400625,"Northfork River Stop","Ankur Sood,Kingston Petroleum LLC","400 Coeur d' Alene River Rd",83839,Active,"Gas Station",,KINGSTON,2/12/2024,47.55269000,-116.27015000,08/17/2001,Yes,4235
1-400626,"SAM SMITH","SAM SMITH","411 EARLE ST",83846,Closure,"Not Listed",,MULLAN, ,47.47114000,-115.79759000,,Yes,4492
1-400627,"KINGSTON KWIK STOP","Davinder Singh,SMT LLC (dba) Kwik Stop","42985 SILVER VALLEY RD",83839,Active,"Gas Station",,KINGSTON,2/15/2024,47.54865000,-116.27211000,11/20/1998,Yes,4629
1-400628,"CITY OF OSBURN","CITY OF OSBURN","400 W MULLAN",83849,Closure,"Local Government",,OSBURN, ,47.50945000,-116.00936000,10/26/1992,Yes,4630
1-400629,"YUPPIE TRAILS","JENNIFER L DOW/MIKE GARITONE","301 RIVER ST",83846,Closure,"Gas Station",,MULLAN,6/4/2010,47.46988000,-115.79913000,03/06/1999,Yes,4736
1-400630,"CITY OF MULLAN","CITY OF MULLAN","416 A EARLE ST",83846,Closure,"Not Listed",,MULLAN, ,47.47100000,-115.79749000,,Yes,4850
1-400632,"Frank's Auto", ,"513 Pine St.",83873,Closure,Commercial,,WALLACE, ,47.47324700,-115.92526400,,Yes,972b4399-a800-466c-ae35-d9f49a619604
1-400633,"Osburn Supply", ,"219 W. Cameron Ave.",83837,Closure,Commercial,,KELLOGG, ,47.54066900,-116.12292800,,Yes,81bd1427-76d8-467d-ab3d-702bc0c3842f
1-400634,"AT&T Communications Wallace", ,"I-90 Exit 64",83873,Closure,Utilities,,WALLACE, ,,,,Yes,6a8fa40b-fbf5-49d0-9d4e-ff731b96322d
1-400635,"Maverik Country Store #748","MAVERIK, INC","Commerce Dr. & Airport Rd.",83868,Active,"Gas Station",,SMELTERVILLE, ,47.54523000,-116.17633000,,Yes,5169cd6d-57ce-4084-8b23-df8a8dbde96e
2-180001,"CHARLEY'S CHEVRON","CHARLES W LEFFERTS","S SIDE PIERCE ST",83553,Closure,"Gas Station",,WEIPPE, ,46.37560200,-115.93991300,01/02/1986,Yes,133
2-180003,"GORDON'S SERVICE","GORDON R HUETH,GORDON R. HUETH","RT 2 HWY 11",83553,Closure,"Gas Station",,WEIPPE, ,,,01/04/1992,Yes,134
2-180008,"DWORSHAK SUBSTATION","BONNEVILLE POWER ADMINISTRATION","RT 1 BOX 39A",83541,Closure,"Federal Non-Military",,LENORE, ,,,12/03/1991,Yes,135
2-180009,"PHILLIPS 66 CO #0200","ROBERT WEST","106 MICHIGAN AVE",83544,Closure,"Not Listed",,OROFINO, ,,,03/27/1986,Yes,136
2-180015,"MUSSELMAN CONSTRUCTION CO","MUSSELMAN CONSTRUCTION CO","250 LOGGERS RD",83544,Closure,Contractor,,OROFINO, ,46.48630400,-116.22165700,10/01/1991,Yes,137
2-180017,"#21700 WEIPPE MTCE YARD","IDAHO TRANSPORTATION DEPARTMENT","HWY 11 MP 18.20 BOX 315",83553,Closure,"State Government",,WEIPPE, ,46.38072800,-115.93885400,08/25/1994,Yes,138
2-180018,"FINKE LOGGING CO","FINKE LOGGING CO INC","BALD MTN RD",83546,Closure,Other,,PIERCE, ,46.56041000,-115.83526300,10/16/1991,Yes,139
2-180021,"OROFINO NAT GUARD ARMORY","IDAHO ARMY NATIONAL GUARD JFHQ-ID/JICE-EE","US HWY 12",83544,Closure,"State Government",,OROFINO, ,46.48787400,-116.26866000,10/21/1991,Yes,140
2-180024,"PIERCE WORK CENTER","CLEARWATER NATIONAL FOREST","224 CANAL ST",83546,Closure,"Federal Military",,PIERCE, ,46.49714700,-115.79509900,02/12/1992,Yes,142
2-180025,"MUSSELSHELL WORK CENTER","CLEARWATER NATIONAL FOREST","C/O PIERCE RANGER DIST",83553,Closure,"Federal Non-Military",,WEIPPE, ,46.35731700,-115.74484500,04/11/1986,Yes,143
2-180026,"WEITAS GUARD STATION","CLEARWATER NATIONAL FOREST","224 CANAL ST",83546,Closure,"Federal Non-Military",,PIERCE, ,,,02/12/1992,Yes,4500
2-180027,"CANYON WORK CENTER","CLEARWATER NATIONAL FOREST","C/O NORTH FORK RANGER DIST",83544,Closure,"Federal Non-Military",,OROFINO,7/30/2010,46.83632000,-115.58516000,02/12/1992,Yes,144
2-180028,"KELLY FORKS WORK CENTER","CLEARWATER NATIONAL FOREST","C/O NORTH FORK RANGER DIST, 12730 HWY 12",83544,Closure,"State Government",,OROFINO, ,46.71817700,-115.26049000,02/12/1992,Yes,145
2-180029,"COLD SPRINGS WORK CENTER","CLEARWATER NATIONAL FOREST","C/O NORTH FORK RANGER DIST, 12730 HWY 12",83544,Closure,"Federal Non-Military",,OROFINO, ,46.72204000,-115.29845600,04/11/1986,Yes,146
2-180031,"JAYPE PLYWOOD","POTLATCH CORP","HWY 11",83546,Closure,"Not Listed",,PIERCE, ,46.52890600,-115.82743400,,Yes,147
2-180033,"CARL NELSON TRUST","KEN WELLER,KENNETH WELLER","505 FROMELT RD, ELVIN NELSON, TRUSTEE",83546,Closure,Contractor,,PIERCE, ,46.48595500,-115.79994300,01/11/1992,Yes,148
2-180034,"Pierce Central Office (1240)","Northwest Fiber LLC dba Ziply Fiber","1019 E CLEARWATER",83546,Active,Utilities,,PIERCE,9/27/2023,46.49027800,-115.79972200,01/24/1992,Yes,4501
2-180036,"TEAKEAN BUTTE REMOTE RADIO (1330-BO1)",VERIZON,"TEAKEAN BUTTE REMOTE RADIO",83537,Closure,Utilities,,SOUTHWICK, ,46.59135800,-116.39148800,11/18/1991,Yes,149
2-180037,"Weippe Central Office (1390)","Northwest Fiber LLC dba Ziply Fiber","201 1ST ST S W",83553,Active,Utilities,,WEIPPE,9/27/2023,46.37590000,-115.93578000,01/24/1992,Yes,150
2-180039,"GLEN WADDELL","GLEN L. WADDELL","30017 HWY 11",83546,Closure,Other,,PIERCE, ,46.49507000,-115.80897900,10/22/1991,Yes,376
2-180040,"C V CONCRETE PRODUCTS INC","C V CONCRETE PRODUCTS INC","170 RIVERSIDE AVE, CPRR GROUNDS",83544,Closure,Other,,OROFINO, ,46.48026200,-116.25732900,10/26/1991,Yes,377
2-180041,"HUCKLEBERRY HEAVEN LODGE","HUCKLEBERRY HEAVEN LODGE & GENERAL STORE","102 MAIN ST",83827,Closure,"Gas Station",,"ELK RIVER", ,46.78240000,-116.17874000,08/26/2003,Yes,378
2-180043,"HUNT OIL COMPANY (1)","HUNT OIL CO,ALFORD H. HUNT","CARDIFF SPUR",83546,Closure,Other,,PIERCE, ,,,04/08/1986,Yes,379
2-180044,"CLEARWATER POWER COMPANY (1)","CLEARWATER POWER CO","NEXT TO FISH HATCHERY",83520,Closure,Other,,AHSAHKA, ,,,04/16/1986,Yes,380
2-180046,"ROBERT ALLEN","J HOWARD BRADBURY MEMORIAL","103 S MAIN ST, HC 64 BOX 86",83546,Closure,"Not Listed",,PIERCE, ,46.49038700,-115.79867700,09/29/1991,Yes,381
2-180048,"ELK RIVER SD #172","Ray Pearson","129 TAFT ST",83827,Closure,Truck/Transporter,,"ELK RIVER",9/7/2011,46.78240000,-116.18362000,10/11/2011,Yes,382
2-180049,"CLEARWATER HWY DIST (1)","CLEARWATER HWY DIST","118 S MAIN ST",83553,Closure,"Local Government",,WEIPPE, ,,,01/02/1992,Yes,383
2-180051,"BUS GARAGE","JOINT SCHOOL DIST #171","HIGH SCHOOL HILL OFF SWAY",83544,Closure,Other,,OROFINO, ,46.49079300,-116.26573400,10/11/1991,Yes,384
2-180052,"HEADQUARTERS VARIETY","POTLATCH CORP","123 MAIN ST",83546,Closure,Industrial,,HEADQUARTERS, ,46.63079300,-115.81197500,09/30/1991,Yes,385
2-180056,"PIERCE MINI MART","Wayne Thorton","110 N MAIN",83546,Active,"Gas Station",,PIERCE,11/21/2023,46.49201000,-115.79782000,10/02/1991,Yes,386
2-180600,"Weippe Cardlock","HUNT OIL CO","608 N MAIN ST",83553,Active,"Gas Station",,WEIPPE,8/24/2023,46.38100000,-115.93787000,11/21/1991,Yes,387
2-180601,"CLEARWATER HWY DIST","CLEARWATER HWY DIST","212 FIRST ST",83827,Closure,"Local Government",,"ELK RIVER", ,,,01/27/1992,Yes,474
2-180603,"OLD CEDAR'S WORK CENTER","CLEARWATER NATIONAL FOREST","NORTHFORK RANGER DIST",83544,Closure,"Federal Non-Military",,OROFINO, ,,,09/01/1992,Yes,475
2-180610,"Cloninger's Marketplace #4","Cloningers Inc,Tara Wilkins","116 N MAIN",83553,Active,"Gas Station",208-435-4213,WEIPPE,10/6/2023,46.37633000,-115.93799000,01/21/2004,Yes,4329
2-180611,"TOM'S TAVERN","FRED SNYDER,JEAN DAHLKY,ELK RIVER PROPERTY INC","102 1ST ST",83827,Closure,"Gas Station",,"ELK RIVER", ,46.78305000,-116.17941000,10/28/1991,Yes,4488
2-180612,"Teaken Butte Microwave (1330)","Northwest Fiber LLC dba Ziply Fiber","TOP OF TEAKEN BUTTE",83537,Active,Commercial,,SOUTHWICK,11/10/2022,46.59122000,-116.39086000,11/06/2002,Yes,4228
2-180613,"Schmidt Mill","IDAHO DEPT OF FISH & GAME","2 MI W OF WEIPPE ON
SCHMIDT MILL RD",83553,Closure,"State Government",,WEIPPE,7/24/2009,46.36863000,-116.01112300,08/01/2009,Yes,5286
2-180614,"State Hospital North", ,"300 Hospital Dr",83544,Closure,Hospital,,OROFINO, ,46.48976900,-116.26036000,,Yes,84c55b77-097b-42b7-a420-0373a9c68f01
2-180615,"L.R. Steinbruecker", ,"10610 Hwy 12",83544,Closure,"Not Listed",,OROFINO, ,46.45408200,-116.21784000,,Yes,025807f0-fc05-4bee-894a-df8b46bc9376
2-180616,"Orofino Cave Center", ,"1204 Shriver Rd",83544,Closure,"Not Listed",,OROFINO, ,,,,Yes,9652e14f-c3cf-4dfc-a4ad-8a0dc3f85e4c
2-180617,"Blanche Lashly", ,"Michigan Ave & E St.",83544,Closure,"Gas Station",,OROFINO, ,46.48150700,-116.24796100,,Yes,4bbe78c8-ef4b-4625-b5c0-9b74e6ab5ed6
2-250001,"TACKE OIL CO","TACKE OIL CO","402 MAIN ST",83522,Closure,"Gas Station",,COTTONWOOD, ,,,05/15/1995,Yes,477
2-250003,Coyotes,"Bobbi Chambers,Coyote Traders LLC,Barney Chambers","1306 King Street",83522,Closure,"Gas Station",2089623369,COTTONWOOD,7/24/2019,46.05572000,-116.34915000,09/15/2000,Yes,478
2-250004,"N IDAHO CORRECTIONAL INSTITUTION","N IDAHO CORRECTIONAL INSTITUTION","RT 3 BOX 147",83522,Closure,"State Government",,COTTONWOOD, ,46.07868000,-116.42770000,12/11/1998,Yes,479
2-250005,"Tire Guy Idaho","NUXOLL SHELL LLC","501 MAIN ST",83522,Active,"Gas Station",962-3241,COTTONWOOD,12/21/2023,46.04848800,-116.35008800,07/10/2000,Yes,480
2-250006,"ST MARYS HOSPITAL","ST MARYS HOSPITAL","701 LEWISTON ST",83522,Active,Hospital,,COTTONWOOD,8/16/2022,46.05045700,-116.35326900,02/28/1995,Yes,481
2-250007,"DIXIE WORK CENTER, RED RIVER","NEZ PERCE NATIONAL FOREST USDA","RED RIVER RD",83525,Closure,"Not Listed",,"ELK CITY", ,45.71004600,-115.34424700,,Yes,482
2-250008,"ELK CITY GENERAL STORE INC","Jessica Montgomery","290 MAIN ST",83525,Closure,"Gas Station","(208) 842-2275","ELK CITY", ,45.82686000,-115.43760800,10/17/2000,Yes,483
2-250009,"ELK CITY ELEMENTARY & JR HIGH","JOINT SCHOOL DIST #241","ELK CITY ELEMENTARY & JR HIGH",83525,Closure,Other,,"ELK CITY", ,,,02/25/1986,Yes,484
2-250011,"ELK CITY RANGER STATION","NEZ PERCE NATIONAL FOREST USDA","ELK CITY RS",83525,Closure,"Federal Non-Military",,"ELK CITY", ,,,01/13/1992,Yes,485
2-250012,"RED RIVER RANGER STATION","NEZ PERCE NATIONAL FOREST USDA","416 USFS DR",83525,Closure,"Federal Non-Military",,"ELK CITY", ,45.70932000,-115.34435000,09/08/2009,Yes,486
2-250013,"REED'S BAR MTCE YARD 219","IDAHO TRANSPORTATION DEPARTMENT","4848 Hwy 14",83530,Closure,"State Government",,GRANGEVILLE,10/30/2018,45.80480000,-115.69808000,09/03/1997,Yes,487
2-250017,"BAKER TRUCK SERVICE INC","BAKER TRUCK SERVICE INC","407 N C ST",83530,Closure,Truck/Transporter,,GRANGEVILLE, ,45.92957600,-116.12797700,12/26/1991,Yes,707
2-250018,"HARPSTER STORE","VICKI VAUGHN,GARY BLAKESLEY","STAR RT/HWY 13 MP 13",83530,Closure,"Not Listed",,GRANGEVILLE, ,45.98104200,-115.96379000,02/22/1986,Yes,708
2-250019,"BILL BRIDGE","BILL BRIDGE","HWY 95 N",83530,Closure,"Gas Station",,GRANGEVILLE, ,,,10/24/1991,Yes,709
2-250020,"BROWN MOTORS, INC.","BROWN MOTORS, INC.","W 118 S ST",83530,Closure,"Not Listed",,GRANGEVILLE, ,45.92532100,-116.12045100,12/27/1985,Yes,710
2-250021,"CAMAS DISTRICT","RODNEY GORTSEMA,ROD GORTSEMA","HWY 95",83530,Closure,"Petroleum Distributor",,GRANGEVILLE, ,,,10/11/1991,Yes,711
2-250022,"GORTSEMA MOTORS INC","GORTSEMA MOTORS INC","227 N STATE ST",83530,Closure,"Not Listed",,GRANGEVILLE, ,,,12/10/1985,Yes,712
2-250025,"PUBLIC WORKS BLDG","CITY OF GRANGEVILLE","E COUNTY RD",83530,Closure,"Local Government",,GRANGEVILLE, ,,,10/01/1991,Yes,713
2-250026,"WASTEWATER PLANT","CITY OF GRANGEVILLE","N MEADOW",83530,Closure,"Local Government",,GRANGEVILLE, ,45.93943000,-116.11471000,10/22/2003,Yes,714
2-250027,"GRANGEVILLE AIR SERVICE INC","GRANGEVILLE AIR SERVICE INC","232 Airport Rd, IDAHO COUNTY AIRPORT",83530,Closure,Commercial,,GRANGEVILLE, ,45.93966000,-116.11856000,10/09/1991,Yes,715
2-250029,"R GREEN & SONS","R GREEN & SONS","RT 1 BOX 50",83530,Closure,Farm,,GRANGEVILLE, ,45.94638000,-116.19506000,12/19/1991,Yes,716
2-250030,"ARLEY HAENER","ARLEY HAENER","617 CUNNINGHAM ST",83530,Closure,"Not Listed",,GRANGEVILLE, ,,,01/16/1986,Yes,717
2-250031,"IDAHO COUNTY AIR SVS","IDAHO COUNTY","IDAHO COUNTY AIRPORT",83530,Active,"Local Government",,GRANGEVILLE,6/29/2022,45.94062000,-116.11727000,01/07/1992,Yes,718
2-250032,"IDAHO COUNTY LIGHT & POWE","IDAHO COUNTY LIGHT & POWER CO-OP","1065 HWY 13",83530,Closure,Utilities,,GRANGEVILLE, ,45.92972400,-116.10222400,10/03/1991,Yes,719
2-250033,"GRANGEVILLE NATL GUARD ARMORY","IDAHO ARMY NATIONAL GUARD JFHQ-ID/JICE-EE","105 E 4TH N",83530,Closure,"State Government",,GRANGEVILLE, ,45.92876900,-116.11777610,10/21/1991,Yes,720
2-250034,"#22000 GRANGEVILLE MTCE YARD","IDAHO TRANSPORTATION DEPARTMENT","HWY 13RT 2 BOX 477",83530,Closure,"State Government",,GRANGEVILLE, ,45.92897700,-116.09867600,09/03/1997,Yes,721
2-250035,"JOHN'S EXXON","JOHN'S EXXON,JOHN OR GEORGE VRIELING","210 E MAIN",83530,Closure,"Gas Station",,GRANGEVILLE, ,45.92509000,-116.11824000,05/06/1996,Yes,722
2-250036,"GRANGEVILLE ELEMENTARY & JR HIGH SCHOOL","JOINT SCHOOL DIST #241","400 S IDAHO AVE",83530,Closure,"Local Government",,GRANGEVILLE, ,,,12/31/1991,Yes,723
2-250037,"GRANGEVILLE HIGH SCHOOL","JOINT SCHOOL DIST #241","910 S D",83530,Closure,"State Government",,GRANGEVILLE, ,,,09/30/1991,Yes,724
2-250038,"C H & VIRGINIA KETCHAM &","C H & VIRGINIA KETCHAM & MAXINE","507 W MAIN",83530,Closure,"Gas Station",,GRANGEVILLE, ,,,11/11/1991,Yes,725
2-250039,"Depot II","Grangeville Depot LLC","712 W MAIN ST",83530,Active,"Gas Station",2089831910,GRANGEVILLE,4/25/2024,45.92648000,-116.12862000,10/03/1991,Yes,726
2-250040,"MCGREGOR CO 1","MCGREGOR CO","910 N D ST",83530,Closure,Commercial,,GRANGEVILLE, ,45.93338200,-116.13072500,,Yes,727
2-250041,"CLEARWATER WAREHOUSE YARD","NEZ PERCE NATIONAL FOREST USDA","RT 2, BOX 475",83530,Closure,"Federal Non-Military",,GRANGEVILLE, ,,,01/13/1992,Yes,728
2-250042,"GRANGEVILLE SOC-030009","CenturyLink - Joe Robertson","HILL & STATE ST",83530,Closure,Utilities,,GRANGEVILLE, ,,,05/03/1995,Yes,4636
2-250043,"GRANGEVILLE CO-030028","CenturyLink - Joe Robertson","320 C ST",83530,Closure,Utilities,,GRANGEVILLE, ,45.92424500,-116.12858500,03/03/1995,Yes,729
2-250044,"PIERSON ENTERPRISES INC","PIERSON ENTERPRISES INC,DELBERT L. PIERSON","15 HWY 95 N",83530,Closure,Contractor,,GRANGEVILLE, ,45.92793100,-116.13021600,09/16/1999,Yes,730
2-250045,"PRAIRIE LAND & TIMBER CO","PRAIRIE LAND & TIMBER CO","HWY 95 N",83530,Closure,"Not Listed",,GRANGEVILLE, ,45.93547000,-116.14389000,,Yes,731
2-250047,"STEGNER GRAIN & SEED CO","STEGNER GRAIN & SEED CO","1010 HILL ST",83530,Closure,Other,,GRANGEVILLE, ,45.93326000,-116.12803000,11/14/1991,Yes,732
2-250048,"L T & L INC","GERALD LINDSEY,GERALD A. LINDSEY","HWY 95 N INDUSTRIAL PARK",83530,Closure,Contractor,,GRANGEVILLE, ,45.94037000,-116.16275000,05/26/1999,Yes,733
2-250049,"UNION WAREHOUSE & SUPPLY","UNION WAREHOUSE & SUPPLY CO","940 N STATE ST",83530,Closure,Commercial,,GRANGEVILLE, ,45.93361000,-116.11835900,09/30/1991,Yes,734
2-250054,"MIDDLEFORK CAFE","MIDDLEFORK CAFE,GREG M. SMITH","HC 75  BOX 101-B",83539,Closure,"Gas Station",,KOOSKIA, ,46.15100000,-115.72634000,12/23/1991,Yes,735
2-250056,"LOCHSA WORK CENTER","CLEARWATER NATIONAL FOREST","C/O LOCHSA RANGER CENTER",83539,Closure,"Federal Non-Military",,KOOSKIA, ,46.33804000,-115.32957300,04/11/1986,Yes,736
2-250057,"MEX MOUNTAIN WORK CENTER","CLEARWATER NATIONAL FOREST","C/O LOCHSA RANGER DIST",83539,Closure,"Federal Non-Military",,KOOSKIA, ,46.32204400,-115.59277700,02/12/1992,Yes,737
2-250058,"SMITH CREEK WORK CENTER","CLEARWATER NATIONAL FOREST","C/O LOCHSA RANGER DIST",83539,Closure,"Federal Non-Military",,KOOSKIA, ,,,04/11/1986,Yes,738
2-250061,"IDAHO COUNTY RD SHOP","IDAHO COUNTY","HWY 13 ACROSS FROM CLEARWATER VALLEY HIGH SCHOOL",83539,Closure,"Not Listed",,KOOSKIA, ,46.12014000,-115.97590100,01/21/1986,Yes,739
2-250062,"BALD MOUNTAIN MTCE YARD #22300","IDAHO TRANSPORTATION DEPARTMENT","HWY 1253 MI E OF KOOSKIA",83539,Closure,"State Government",,KOOSKIA, ,46.38310800,-115.23295800,09/03/1997,Yes,740
2-250063,"FLEMING MTCE YARD #2470 (B22400)","IDAHO TRANSPORTATION DEPARTMENT","HWY 12 MP 98.74 24 MI EAST OF KOOSKIA, HC 75 BOX 58",83539,Closure,"State Government",,KOOSKIA, ,46.15553300,-115.58392200,09/03/1997,Yes,741
2-250065,"POWELL MTCE YARD #B22500","IDAHO TRANSPORTATION DEPARTMENT","HWY 12, 88 MILES E OF KOOSKIA",83539,Closure,"State Government",,KOOSKIA, ,46.52130500,-114.70115300,09/03/1997,Yes,742
2-250069,"FENN RANGER STATION","NEZ PERCE NATIONAL FOREST USDA","HCR 75, BOX 91",83539,Closure,"Federal Non-Military",,KOOSKIA, ,46.10142100,-115.54613300,04/25/1986,Yes,743
2-250070,"COUGAR CANYON STATION","Frank Bowles Jr","8881 Highway 12",83539,Active,"Gas Station",,KOOSKIA,9/26/2014,46.14743000,-115.59488000,09/08/2002,Yes,744
2-250071,"THREE RIVERS RESORT","WILDERNESS TRAILS INC","HWY 12 AT LOWELL",83539,Closure,"Gas Station",,KOOSKIA, ,,,10/22/1991,Yes,745
2-250072,"USDA FOREST SERVICE","CLEARWATER NATIONAL FOREST","POWELL RANGER STATION",83539,Closure,"Federal Non-Military",,KOOSKIA, ,46.50985800,-114.71218900,02/12/1992,Yes,746
2-250073,"LUCILE MTCE YARD #22100","IDAHO TRANSPORTATION DEPARTMENT","HWY 95 MP 205.93 N LUCILE BOX 346",83542,Closure,"State Government",,LUCILE, ,45.55270600,-116.30221400,09/03/1997,Yes,747
2-250074,"HALF WAY INN","JOANN ROCHELEAU","RT 1 HC 75",83654,Closure,"Not Listed",,"NEW MEADOWS", ,,,01/11/1986,Yes,748
2-250075,"LOCHSA LODGE","Matthew Hohenstreet / Ruben Restro","POWELL RANGER STATION, 115 Powell Rd",83539,Active,"Gas Station",208-942-3405,KOOSKIA,11/7/2023,46.51156000,-114.71661000,09/12/2000,Yes,749
2-250076,"RIVER STATION","LONNIE H BARNER,LONNIE H. BARNER","104 S MAIN",83549,Closure,"Not Listed",,RIGGINS, ,,,12/30/1985,Yes,750
2-250077,"Jacksons Food Store #187","JACKSONS FOOD STORES","103 S MAIN ST",83549,Active,"Gas Station",,RIGGINS,7/28/2023,45.42160800,-116.31548200,01/12/2004,Yes,751
2-250078,"WOODLEYS GROCERY AND GAS","R JAMES FLYNN,R. JAMES FLYNN","500 S MAIN ST",83549,Closure,"Gas Station",,RIGGINS, ,,,10/11/1991,Yes,752
2-250079,"FRED J HESS","FRED J HESS,FRED J. HESS","312 MAIN ST",83549,Closure,"Not Listed",,RIGGINS, ,,,01/03/1986,Yes,753
2-250080,"SALMON RIVER SCHOOLS","JOINT SCHOOL DIST #241","NEXT TO OLD ELEMENTARY SCHOOL",83549,Closure,"State Government",,RIGGINS, ,45.42285500,-116.31482600,09/30/1991,Yes,754
2-250081,"Riggins One Stop","Briget Hansen,Riggins One Stop LLC","1119 South Main",83549,Active,"Gas Station",208-628-4048,RIGGINS,7/26/2023,45.41594000,-116.31918000,10/29/1992,Yes,755
2-250083,"DUANE'S SHOP","JAMES DUANE LEE","CORNER OF BRIDGE & RIVER",83554,Closure,"Gas Station",,"WHITE BIRD", ,,,09/30/1991,Yes,756
2-250084,"SLATE CREEK RANGER STATION","NEZ PERCE NATIONAL FOREST USDA","HC O1 BOX 70",83554,Closure,"Federal Non-Military",,"WHITE BIRD", ,45.63745600,-116.28099600,10/03/1997,Yes,757
2-250086,"The Confluence","Dan Surerus,The Confluence","HWY 95",83554,Active,"Gas Station",208-565-0478,"WHITE BIRD",9/8/2023,45.74217600,-116.31036200,02/24/1993,Yes,758
2-250087,"THE DEPOT","GNDJI, LLC","105 Hwy 95 North",83530,Active,"Gas Station",208-983-0176,GRANGEVILLE,5/23/2024,45.93539000,-116.13204000,09/23/2000,Yes,759
2-250089,"JOSEPH PLAINS CAMP","IDAHO DEPARTMENT OF LANDS","JOSEPH PLAINS TO DEMECO CITY RD",83522,Closure,"State Government",,COTTONWOOD, ,45.85631400,-116.47055500,10/19/1991,Yes,760
2-250090,"MAGRUDER GUARD STATION","BITTERROOT NATIONAL FOREST","W FORK RANGER STATION",83539,Closure,"Federal Non-Military",,KOOSKIA, ,45.70186100,-114.71705600,12/12/1988,Yes,761
2-250091,"PITTSBURG LANDING","USDA FOREST SVC NAT'L REC AREA","20 MI S WHITEBIRD NF-493",83554,Closure,"Federal Military",,"WHITE BIRD", ,45.63293500,-116.47633800,05/07/1986,Yes,762
2-250093,"DAMMAN'S RADIATOR & GLASS","MARTIN J CASTLE","212 PINE",83530,Closure,Other,,GRANGEVILLE, ,,,12/13/1991,Yes,763
